Match_Date,Match_Day,Match_Time,Stadium,City,Home_Team,Away_Team,Stand_Type,Seat_Category,Match_Type,Weekend,Holiday,Opponent_Popularity,Weather,Rain_Probability,Demand_Level,Previous_Match_Attendance,Stadium_Capacity,Available_Seats,Booking_Time,Days_Before_Match,Base_Price,Predicted_Price
2023-04-06,Thursday,3:30 PM,Sawai Mansingh Stadium,Jaipur,RR,MI,West,Standard,League,No,No,High,Sunny,27,Medium,12703,30000,3159,1-3 days before,8,900,1150
2023-07-11,Tuesday,7:30 PM,Punjab Cricket Association Stadium,Mohali,PBKS,KKR,North,Premium,Final,No,No,Medium,Cloudy,17,Low,8850,26950,1222,1-3 days before,16,1800,3000
2023-04-08,Saturday,3:30 PM,Sawai Mansingh Stadium,Jaipur,RR,RCB,East,Economy,Qualifier,Yes,No,High,Sunny,3,Very High,28254,30000,441,0-1 hour before,19,500,1100
2023-06-13,Tuesday,7:30 PM,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,LSG,RR,North,Premium,League,No,No,Medium,Sunny,20,Medium,26323,50000,7414,0-1 hour before,0,1800,2300
2023-04-12,Wednesday,3:30 PM,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,LSG,MI,North,Standard,Eliminator,No,No,High,Partly Cloudy,11,Medium,28763,50000,5099,6-24 hours before,19,900,1300
2023-09-11,Monday,7:30 PM,Sawai Mansingh Stadium,Jaipur,RR,CSK,West,Economy,League,No,No,High,Partly Cloudy,23,High,19085,30000,2856,7+ days before,10,500,650
2023-07-28,Friday,7:30 PM,Narendra Modi Stadium,Ahmedabad,GT,RR,East,Economy,League,No,No,Medium,Rainy,10,Low,58446,132000,20079,6-24 hours before,5,500,500
2023-08-15,Tuesday,3:30 PM,Sawai Mansingh Stadium,Jaipur,RR,LSG,East,Standard,Eliminator,No,Yes,Low,Cloudy,4,Medium,12501,30000,3108,0-1 hour before,28,900,1100
2023-06-23,Friday,7:30 PM,M Chinnaswamy Stadium,Bengaluru,RCB,MI,West,Standard,Eliminator,No,No,High,Partly Cloudy,25,Medium,19772,35000,1717,6-24 hours before,25,900,1500
2023-05-04,Thursday,3:30 PM,M Chinnaswamy Stadium,Bengaluru,RCB,GT,South,Economy,League,No,No,Medium,Rainy,63,Medium,25487,35000,3376,1-6 hours before,0,500,550
2023-06-04,Sunday,3:30 PM,Arun Jaitley Stadium,Delhi,DC,GT,South,Premium,League,Yes,No,Medium,Sunny,26,High,40549,41820,114,6-24 hours before,5,1800,3000
2023-04-21,Friday,7:30 PM,Narendra Modi Stadium,Ahmedabad,GT,CSK,South,Premium,League,No,No,High,Cloudy,12,Very High,94254,132000,2473,1-3 days before,0,1800,3400
2023-06-26,Monday,7:30 PM,Sawai Mansingh Stadium,Jaipur,RR,SRH,Premium,Premium,League,No,Yes,Medium,Rainy,43,High,25003,30000,820,7+ days before,9,1800,2100
2023-09-11,Monday,7:30 PM,M Chinnaswamy Stadium,Bengaluru,RCB,PBKS,North,Standard,League,No,No,Low,Rainy,43,Medium,20018,35000,3790,7+ days before,10,900,750
2023-08-02,Wednesday,7:30 PM,Punjab Cricket Association Stadium,Mohali,PBKS,SRH,East,Standard,League,No,No,Medium,Cloudy,19,Medium,19602,26950,2298,7+ days before,9,900,950
2023-03-31,Friday,3:30 PM,M Chinnaswamy Stadium,Bengaluru,RCB,SRH,VIP,VIP,League,No,No,Medium,Partly Cloudy,18,Medium,23748,35000,2509,1-6 hours before,4,3500,4450
2023-07-11,Tuesday,3:30 PM,Rajiv Gandhi International Stadium,Hyderabad,SRH,MI,VIP,Corporate,League,No,No,High,Sunny,27,Low,15583,55000,8380,3-7 days before,17,5000,5500
2023-07-12,Wednesday,7:30 PM,Punjab Cricket Association Stadium,Mohali,PBKS,RR,Premium,VIP,League,No,No,Medium,Sunny,20,Medium,19163,26950,1710,1-6 hours before,8,3500,3750
2023-06-02,Friday,7:30 PM,Narendra Modi Stadium,Ahmedabad,GT,SRH,Corporate Box,Corporate,League,No,No,Medium,Sunny,22,Medium,64096,132000,13254,6-24 hours before,17,5000,4850
2023-07-10,Monday,7:30 PM,Rajiv Gandhi International Stadium,Hyderabad,SRH,KKR,Corporate Box,Corporate,Eliminator,No,No,Medium,Rainy,53,Medium,42740,55000,1894,1-3 days before,27,5000,5500
2023-08-11,Friday,3:30 PM,Arun Jaitley Stadium,Delhi,DC,RR,South,Premium,League,No,No,Medium,Sunny,21,High,29364,41820,1342,1-3 days before,29,1800,1900
2023-03-31,Friday,7:30 PM,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,LSG,RR,East,Economy,League,No,No,Medium,Sunny,14,Medium,25203,50000,4080,1-3 days before,10,500,550
2023-07-10,Monday,7:30 PM,Arun Jaitley Stadium,Delhi,DC,KKR,VIP,VIP,Qualifier,No,No,Medium,Sunny,30,Medium,27603,41820,4598,7+ days before,1,3500,5900
2023-03-30,Thursday,3:30 PM,M Chinnaswamy Stadium,Bengaluru,RCB,KKR,VIP,VIP,League,No,No,Medium,Sunny,22,Medium,19164,35000,4149,7+ days before,22,3500,3200
2023-04-21,Friday,3:30 PM,MA Chidambaram Stadium (Chepauk),Chennai,CSK,GT,VIP,Corporate,League,No,No,Medium,Cloudy,2,High,45764,50000,571,7+ days before,24,5000,5400
2023-08-16,Wednesday,3:30 PM,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,LSG,MI,Premium,VIP,League,No,No,High,Cloudy,0,High,45558,50000,386,6-24 hours before,20,3500,5300
2023-07-14,Friday,3:30 PM,Punjab Cricket Association Stadium,Mohali,PBKS,RCB,Premium,Premium,Eliminator,No,No,High,Cloudy,15,Medium,19681,26950,1870,6-24 hours before,27,1800,2350
2023-07-18,Tuesday,3:30 PM,Wankhede Stadium,Mumbai,MI,GT,VIP,Corporate,League,No,No,Medium,Sunny,10,Medium,16052,33108,5615,6-24 hours before,8,5000,5750
2023-03-27,Monday,3:30 PM,Narendra Modi Stadium,Ahmedabad,GT,RR,Premium,VIP,League,No,Yes,Medium,Sunny,15,High,98394,132000,11006,0-1 hour before,9,3500,4550
2023-09-10,Sunday,7:30 PM,M Chinnaswamy Stadium,Bengaluru,RCB,GT,VIP,Corporate,League,Yes,No,Medium,Cloudy,10,Medium,20352,35000,2304,1-6 hours before,3,5000,7050
2023-08-09,Wednesday,3:30 PM,Eden Gardens,Kolkata,KKR,MI,Premium,VIP,Qualifier,No,No,High,Partly Cloudy,16,High,64680,66000,450,6-24 hours before,7,3500,7800
2023-08-08,Tuesday,3:30 PM,Narendra Modi Stadium,Ahmedabad,GT,CSK,North,Economy,Qualifier,No,No,High,Sunny,27,High,72770,132000,3215,6-24 hours before,15,500,750
2023-04-07,Friday,7:30 PM,Eden Gardens,Kolkata,KKR,RCB,VIP,VIP,Eliminator,No,No,High,Sunny,2,High,55652,66000,1066,3-7 days before,30,3500,5250
2023-08-14,Monday,7:30 PM,M Chinnaswamy Stadium,Bengaluru,RCB,MI,Corporate Box,Corporate,Qualifier,No,No,High,Sunny,29,Medium,26042,35000,3551,6-24 hours before,18,5000,7900
2023-05-17,Wednesday,3:30 PM,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,LSG,MI,West,Economy,League,No,No,High,Cloudy,5,Low,18131,50000,8216,6-24 hours before,1,500,700
2023-04-12,Wednesday,3:30 PM,Narendra Modi Stadium,Ahmedabad,GT,DC,Corporate Box,Corporate,League,No,No,Low,Cloudy,20,Low,41765,132000,9003,0-1 hour before,5,5000,5250
2023-07-15,Saturday,3:30 PM,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,LSG,KKR,Premium,Premium,League,Yes,No,Medium,Sunny,17,Medium,21608,50000,1815,1-3 days before,23,1800,1950
2023-04-17,Monday,3:30 PM,Narendra Modi Stadium,Ahmedabad,GT,CSK,Corporate Box,Corporate,Final,No,No,High,Cloudy,8,High,116365,132000,1740,3-7 days before,20,5000,9850
2023-08-21,Monday,7:30 PM,Narendra Modi Stadium,Ahmedabad,GT,RCB,VIP,VIP,League,No,No,High,Sunny,10,High,122610,132000,1553,7+ days before,15,3500,4200
2023-04-03,Monday,7:30 PM,Arun Jaitley Stadium,Delhi,DC,RR,South,Premium,League,No,Yes,Medium,Rainy,70,High,20934,41820,7399,1-3 days before,13,1800,1950
2023-08-31,Thursday,7:30 PM,Sawai Mansingh Stadium,Jaipur,RR,GT,West,Economy,League,No,No,Medium,Sunny,9,Medium,20379,30000,889,7+ days before,19,500,500
2023-08-13,Sunday,3:30 PM,MA Chidambaram Stadium (Chepauk),Chennai,CSK,GT,West,Economy,Final,Yes,No,Medium,Partly Cloudy,14,Very High,49000,50000,103,7+ days before,9,500,1500
2023-07-26,Wednesday,7:30 PM,Narendra Modi Stadium,Ahmedabad,GT,PBKS,Corporate Box,Corporate,League,No,No,Low,Partly Cloudy,16,High,75009,132000,4242,1-3 days before,10,5000,6150
2023-03-25,Saturday,7:30 PM,Sawai Mansingh Stadium,Jaipur,RR,KKR,VIP,Corporate,Eliminator,Yes,No,Medium,Sunny,15,Medium,18623,30000,2732,1-3 days before,29,5000,6800
2023-08-18,Friday,7:30 PM,M Chinnaswamy Stadium,Bengaluru,RCB,KKR,VIP,VIP,League,No,No,Medium,Sunny,29,High,24256,35000,3032,7+ days before,4,3500,4350
2023-07-31,Monday,7:30 PM,Rajiv Gandhi International Stadium,Hyderabad,SRH,RCB,VIP,VIP,League,No,No,High,Sunny,23,Low,25725,55000,11402,0-1 hour before,15,3500,4550
2023-08-31,Thursday,7:30 PM,Narendra Modi Stadium,Ahmedabad,GT,LSG,Premium,Premium,Eliminator,No,No,Low,Sunny,10,High,124570,132000,1640,3-7 days before,1,1800,3150
2023-05-22,Monday,3:30 PM,M Chinnaswamy Stadium,Bengaluru,RCB,GT,East,Economy,League,No,No,Medium,Cloudy,28,Low,11588,35000,1630,6-24 hours before,11,500,550
2023-07-08,Saturday,3:30 PM,M Chinnaswamy Stadium,Bengaluru,RCB,RR,South,Economy,League,Yes,No,Medium,Sunny,29,High,21563,35000,3671,1-3 days before,8,500,750
2023-09-14,Thursday,3:30 PM,Punjab Cricket Association Stadium,Mohali,PBKS,KKR,Premium,Premium,League,No,Yes,Medium,Partly Cloudy,22,Medium,19892,26950,844,1-3 days before,27,1800,1900
2023-08-18,Friday,7:30 PM,M Chinnaswamy Stadium,Bengaluru,RCB,PBKS,North,Premium,Final,No,No,Low,Cloudy,8,Low,16319,35000,6022,0-1 hour before,29,1800,2650
2023-05-22,Monday,7:30 PM,Punjab Cricket Association Stadium,Mohali,PBKS,KKR,North,Standard,Qualifier,No,No,Medium,Cloudy,21,High,15318,26950,977,7+ days before,20,900,1150
2023-08-20,Sunday,7:30 PM,Punjab Cricket Association Stadium,Mohali,PBKS,CSK,North,Economy,League,Yes,No,High,Sunny,6,Low,10371,26950,6465,3-7 days before,16,500,650
2023-07-26,Wednesday,7:30 PM,MA Chidambaram Stadium (Chepauk),Chennai,CSK,GT,North,Premium,League,No,No,Medium,Sunny,24,Very High,49000,50000,303,1-3 days before,30,1800,2750
2023-04-17,Monday,7:30 PM,Sawai Mansingh Stadium,Jaipur,RR,GT,Corporate Box,Corporate,League,No,Yes,Medium,Cloudy,21,Medium,16572,30000,3672,6-24 hours before,3,5000,6700
2023-08-30,Wednesday,7:30 PM,Punjab Cricket Association Stadium,Mohali,PBKS,CSK,East,Standard,League,No,No,High,Sunny,22,Medium,15181,26950,1164,0-1 hour before,9,900,1150
2023-05-24,Wednesday,3:30 PM,Wankhede Stadium,Mumbai,MI,RCB,Premium,Premium,Final,No,No,High,Cloudy,17,Medium,23073,33108,1044,1-3 days before,20,1800,3350
2023-06-04,Sunday,3:30 PM,Punjab Cricket Association Stadium,Mohali,PBKS,LSG,South,Standard,League,Yes,No,Low,Sunny,11,Low,11357,26950,3751,7+ days before,11,900,950
2023-04-25,Tuesday,7:30 PM,Narendra Modi Stadium,Ahmedabad,GT,SRH,East,Standard,League,No,Yes,Medium,Sunny,4,High,79543,132000,17858,3-7 days before,6,900,1250
2023-05-01,Monday,3:30 PM,M Chinnaswamy Stadium,Bengaluru,RCB,LSG,West,Standard,League,No,No,Low,Rainy,19,High,17951,35000,941,1-6 hours before,18,900,750
2023-04-07,Friday,3:30 PM,MA Chidambaram Stadium (Chepauk),Chennai,CSK,GT,Corporate Box,Corporate,Qualifier,No,No,Medium,Sunny,24,Medium,31873,50000,3774,1-6 hours before,30,5000,6200
2023-07-20,Thursday,3:30 PM,Sawai Mansingh Stadium,Jaipur,RR,KKR,Premium,VIP,League,No,Yes,Medium,Sunny,22,Very High,19322,30000,835,3-7 days before,4,3500,5050
2023-06-16,Friday,7:30 PM,Narendra Modi Stadium,Ahmedabad,GT,RR,VIP,Corporate,League,No,No,Medium,Cloudy,3,High,73551,132000,16315,3-7 days before,23,5000,5900
2023-05-22,Monday,7:30 PM,Arun Jaitley Stadium,Delhi,DC,PBKS,Premium,VIP,League,No,No,Low,Sunny,13,Medium,20991,41820,7992,7+ days before,29,3500,3150
2023-04-17,Monday,7:30 PM,Wankhede Stadium,Mumbai,MI,RCB,North,Premium,League,No,Yes,High,Cloudy,17,High,27645,33108,1058,7+ days before,30,1800,2950
2023-08-25,Friday,7:30 PM,Rajiv Gandhi International Stadium,Hyderabad,SRH,GT,Corporate Box,Corporate,League,No,No,Medium,Sunny,27,Low,25373,55000,5292,6-24 hours before,18,5000,4650
2023-08-31,Thursday,3:30 PM,Arun Jaitley Stadium,Delhi,DC,RR,North,Premium,League,No,No,Medium,Cloudy,9,Very High,33899,41820,898,1-6 hours before,18,1800,2350
2023-09-03,Sunday,3:30 PM,Wankhede Stadium,Mumbai,MI,SRH,Corporate Box,Corporate,League,Yes,Yes,Medium,Sunny,5,Medium,22799,33108,3318,3-7 days before,19,5000,5750
2023-05-04,Thursday,3:30 PM,Rajiv Gandhi International Stadium,Hyderabad,SRH,RCB,South,Premium,Qualifier,No,No,High,Sunny,14,Medium,26742,55000,6480,6-24 hours before,13,1800,2900
2023-08-06,Sunday,7:30 PM,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,LSG,DC,VIP,VIP,League,Yes,Yes,Low,Sunny,6,High,44104,50000,892,0-1 hour before,0,3500,6100
2023-04-27,Thursday,7:30 PM,Arun Jaitley Stadium,Delhi,DC,RCB,North,Standard,League,No,No,High,Partly Cloudy,1,Medium,24418,41820,1344,6-24 hours before,18,900,950
2023-06-07,Wednesday,3:30 PM,Arun Jaitley Stadium,Delhi,DC,LSG,North,Premium,Eliminator,No,No,Low,Cloudy,26,High,28476,41820,2706,0-1 hour before,7,1800,2550
2023-04-14,Friday,7:30 PM,Arun Jaitley Stadium,Delhi,DC,RR,North,Premium,League,No,No,Medium,Sunny,16,High,32004,41820,1156,6-24 hours before,11,1800,2300
2023-04-20,Thursday,3:30 PM,MA Chidambaram Stadium (Chepauk),Chennai,CSK,KKR,West,Standard,Qualifier,No,No,Medium,Cloudy,5,Very High,48838,50000,246,3-7 days before,24,900,1650
2023-09-01,Friday,7:30 PM,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,LSG,GT,South,Economy,League,No,No,Medium,Sunny,8,High,33798,50000,1230,1-3 days before,14,500,500
2023-04-13,Thursday,3:30 PM,Eden Gardens,Kolkata,KKR,GT,VIP,Corporate,League,No,No,Medium,Cloudy,25,High,34353,66000,11651,3-7 days before,20,5000,5300
2023-07-31,Monday,3:30 PM,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,LSG,DC,VIP,VIP,Eliminator,No,No,Low,Rainy,15,High,29313,50000,2827,1-3 days before,14,3500,3850
2023-06-26,Monday,7:30 PM,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,LSG,RCB,Premium,VIP,Qualifier,No,No,High,Cloudy,1,High,41182,50000,644,0-1 hour before,17,3500,5600
2023-09-09,Saturday,3:30 PM,Narendra Modi Stadium,Ahmedabad,GT,KKR,Corporate Box,Corporate,Final,Yes,No,Medium,Sunny,20,High,91869,132000,10364,0-1 hour before,9,5000,11550
2023-09-12,Tuesday,3:30 PM,Eden Gardens,Kolkata,KKR,RCB,Premium,VIP,League,No,No,High,Sunny,30,Medium,51418,66000,3210,1-6 hours before,4,3500,3950
2023-08-01,Tuesday,3:30 PM,Narendra Modi Stadium,Ahmedabad,GT,MI,Corporate Box,Corporate,League,No,No,High,Sunny,5,High,116892,132000,5033,1-6 hours before,23,5000,6150
2023-09-14,Thursday,3:30 PM,Arun Jaitley Stadium,Delhi,DC,GT,VIP,Corporate,Qualifier,No,No,Medium,Rainy,34,High,27380,41820,4808,1-3 days before,28,5000,6250
2023-07-21,Friday,7:30 PM,Eden Gardens,Kolkata,KKR,DC,VIP,Corporate,Final,No,No,Low,Rainy,82,Low,20625,66000,12451,6-24 hours before,17,5000,6550
2023-06-05,Monday,3:30 PM,Sawai Mansingh Stadium,Jaipur,RR,MI,South,Premium,Final,No,No,High,Sunny,13,Low,14328,30000,5263,6-24 hours before,29,1800,2850
2023-07-31,Monday,7:30 PM,Rajiv Gandhi International Stadium,Hyderabad,SRH,PBKS,North,Economy,League,No,No,Low,Sunny,3,High,45373,55000,3147,1-6 hours before,1,500,650
2023-09-21,Thursday,7:30 PM,Punjab Cricket Association Stadium,Mohali,PBKS,RCB,East,Economy,League,No,No,High,Sunny,4,High,23274,26950,862,0-1 hour before,24,500,600
2023-04-06,Thursday,3:30 PM,Narendra Modi Stadium,Ahmedabad,GT,MI,VIP,Corporate,League,No,No,High,Rainy,68,High,67084,132000,14955,1-6 hours before,22,5000,5000
2023-08-29,Tuesday,7:30 PM,Arun Jaitley Stadium,Delhi,DC,CSK,VIP,VIP,Qualifier,No,No,High,Sunny,11,Low,15954,41820,5885,3-7 days before,17,3500,4350
2023-09-03,Sunday,7:30 PM,Punjab Cricket Association Stadium,Mohali,PBKS,CSK,Premium,Premium,League,Yes,No,High,Rainy,49,Medium,17863,26950,783,3-7 days before,23,1800,2000
2023-06-23,Friday,7:30 PM,MA Chidambaram Stadium (Chepauk),Chennai,CSK,MI,South,Standard,Final,No,No,High,Sunny,5,High,26577,50000,7534,1-3 days before,1,900,2650
2023-04-04,Tuesday,7:30 PM,Rajiv Gandhi International Stadium,Hyderabad,SRH,KKR,VIP,Corporate,Final,No,No,Medium,Cloudy,8,Low,22644,55000,4857,0-1 hour before,27,5000,7950
2023-06-27,Tuesday,7:30 PM,Narendra Modi Stadium,Ahmedabad,GT,MI,Premium,VIP,League,No,No,High,Sunny,22,Medium,101603,132000,7044,0-1 hour before,23,3500,3750
2023-08-11,Friday,7:30 PM,Arun Jaitley Stadium,Delhi,DC,RCB,North,Economy,Qualifier,No,No,High,Sunny,19,High,24394,41820,3578,1-3 days before,1,500,1050
2023-06-03,Saturday,3:30 PM,Eden Gardens,Kolkata,KKR,PBKS,Premium,VIP,League,Yes,Yes,Low,Cloudy,5,Very High,45254,66000,5448,1-3 days before,1,3500,6500
2023-06-25,Sunday,7:30 PM,M Chinnaswamy Stadium,Bengaluru,RCB,LSG,West,Economy,Qualifier,Yes,No,Low,Partly Cloudy,11,Medium,15076,35000,1956,6-24 hours before,12,500,700
2023-04-23,Sunday,3:30 PM,Narendra Modi Stadium,Ahmedabad,GT,SRH,Premium,VIP,Final,Yes,No,Medium,Sunny,24,Medium,76363,132000,22183,6-24 hours before,22,3500,6700
2023-04-25,Tuesday,3:30 PM,Punjab Cricket Association Stadium,Mohali,PBKS,SRH,VIP,VIP,Eliminator,No,No,Medium,Sunny,2,High,26411,26950,213,7+ days before,11,3500,6450
2023-06-07,Wednesday,7:30 PM,Sawai Mansingh Stadium,Jaipur,RR,DC,North,Standard,League,No,No,Low,Sunny,6,High,18551,30000,2552,6-24 hours before,17,900,950
2023-04-27,Thursday,3:30 PM,Punjab Cricket Association Stadium,Mohali,PBKS,RR,Premium,VIP,League,No,Yes,Medium,Rainy,78,Low,13288,26950,3754,1-3 days before,14,3500,3250
2023-08-13,Sunday,3:30 PM,Eden Gardens,Kolkata,KKR,RCB,South,Standard,League,Yes,No,High,Partly Cloudy,26,Low,19024,66000,5055,6-24 hours before,29,900,1150
2023-06-05,Monday,3:30 PM,Eden Gardens,Kolkata,KKR,RR,VIP,Corporate,League,No,No,Medium,Sunny,17,Low,27076,66000,10008,3-7 days before,4,5000,5100
2023-08-16,Wednesday,3:30 PM,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,LSG,GT,East,Economy,League,No,No,Medium,Cloudy,18,Medium,24216,50000,6452,3-7 days before,20,500,450
2023-09-05,Tuesday,7:30 PM,Sawai Mansingh Stadium,Jaipur,RR,KKR,Premium,VIP,League,No,No,Medium,Cloudy,5,Medium,17811,30000,1479,3-7 days before,4,3500,3650
2023-07-05,Wednesday,3:30 PM,Eden Gardens,Kolkata,KKR,LSG,Corporate Box,Corporate,League,No,No,Low,Sunny,8,Medium,30119,66000,2429,1-3 days before,27,5000,4600
2023-06-16,Friday,7:30 PM,M Chinnaswamy Stadium,Bengaluru,RCB,SRH,South,Standard,Final,No,No,Medium,Sunny,28,Medium,14324,35000,7873,3-7 days before,14,900,1750
2023-04-06,Thursday,3:30 PM,M Chinnaswamy Stadium,Bengaluru,RCB,LSG,VIP,Corporate,League,No,No,Low,Sunny,3,Medium,26354,35000,2633,1-3 days before,11,5000,4650
2023-05-13,Saturday,7:30 PM,Rajiv Gandhi International Stadium,Hyderabad,SRH,RR,South,Economy,League,Yes,No,Medium,Rainy,40,High,44639,55000,2733,1-6 hours before,3,500,650
2023-06-26,Monday,3:30 PM,Eden Gardens,Kolkata,KKR,RR,VIP,Corporate,League,No,No,Medium,Sunny,4,High,59530,66000,1499,1-6 hours before,19,5000,5950
2023-08-28,Monday,7:30 PM,MA Chidambaram Stadium (Chepauk),Chennai,CSK,LSG,VIP,Corporate,League,No,No,Low,Cloudy,16,High,42718,50000,1128,0-1 hour before,11,5000,5600
2023-08-21,Monday,7:30 PM,Wankhede Stadium,Mumbai,MI,PBKS,South,Economy,League,No,No,Low,Cloudy,24,High,20320,33108,869,1-3 days before,5,500,600
2023-05-01,Monday,3:30 PM,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,LSG,PBKS,West,Economy,League,No,Yes,Low,Sunny,4,Medium,24077,50000,5848,3-7 days before,29,500,500
2023-08-04,Friday,3:30 PM,Rajiv Gandhi International Stadium,Hyderabad,SRH,RCB,Premium,VIP,League,No,No,High,Sunny,29,High,42522,55000,3575,7+ days before,21,3500,5100
2023-05-13,Saturday,3:30 PM,Narendra Modi Stadium,Ahmedabad,GT,DC,North,Premium,Final,Yes,No,Low,Partly Cloudy,24,Medium,63744,132000,20254,6-24 hours before,15,1800,2900
2023-04-25,Tuesday,7:30 PM,Narendra Modi Stadium,Ahmedabad,GT,KKR,Premium,VIP,Final,No,No,Medium,Rainy,42,Low,64525,132000,5240,1-3 days before,20,3500,4450
2023-05-15,Monday,7:30 PM,Punjab Cricket Association Stadium,Mohali,PBKS,SRH,North,Premium,League,No,No,Medium,Cloudy,7,Medium,18000,26950,2110,7+ days before,7,1800,1800
2023-07-23,Sunday,3:30 PM,Arun Jaitley Stadium,Delhi,DC,GT,East,Standard,Final,Yes,No,Medium,Partly Cloudy,5,Medium,32369,41820,3378,1-3 days before,20,900,1550
2023-06-06,Tuesday,3:30 PM,Narendra Modi Stadium,Ahmedabad,GT,LSG,West,Economy,League,No,No,Low,Cloudy,29,Low,63408,132000,13461,1-6 hours before,29,500,500
2023-05-11,Thursday,7:30 PM,Arun Jaitley Stadium,Delhi,DC,PBKS,North,Economy,League,No,No,Low,Sunny,10,Medium,33273,41820,2052,1-3 days before,28,500,500
2023-06-02,Friday,3:30 PM,Sawai Mansingh Stadium,Jaipur,RR,PBKS,North,Premium,Qualifier,No,No,Low,Cloudy,22,Medium,20839,30000,2993,3-7 days before,21,1800,2100
2023-07-12,Wednesday,7:30 PM,MA Chidambaram Stadium (Chepauk),Chennai,CSK,PBKS,West,Economy,Final,No,Yes,Low,Sunny,29,Medium,25215,50000,3282,6-24 hours before,30,500,750
2023-05-30,Tuesday,7:30 PM,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,LSG,CSK,East,Economy,League,No,No,High,Sunny,21,High,47377,50000,776,6-24 hours before,22,500,600
